id	SampleID	BioSample	ID	SRA	SampleName	Collection_date	Depth	site	elevation	Broad_scale_environmental_context	Local_scale_environmental_context	Environmental_medium	Latitude_and_Longitude	Geographic Location	Study_zone	Ecological_type	Parametros	Temperatura	Salinidad	pH	Redox mV	S-2	SO4
S6B07	S6B07	S6B07	LC	S6B07		2023-09-30	0.15	6B						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S6B1522	S6B1522	S6B1522	LC	S6B1522		2023-09-30	16-30	6B						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S6B3040	S6B3040	S6B3040	LC	S6B3040		2023-09-30	31-45	6B						Mexico:Tabasco	Laguna Cacahuate	Fringe	si	28.4	467.6	6.8	70	0.02	214
S6B5060	S6B5060	S6B5060	LC	S6B5060		2023-09-30	50-70	6B						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S7A07	S7A07	S7A07	LC	S7A07		2023-09-30	0.15	7A						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S7A1522	S7A1522	S7A1522	LC	S7A1522		2023-09-30	16-30	7A						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S7A3040	S7A3040	S7A3040	LC	S7A3040		2023-09-30	31-45	7A						Mexico:Tabasco	Laguna Cacahuate	Fringe	si	30.6	356.8	6.7	45	0.18	151.6
S7A5060	S7A5060	S7A5060	LC	S7A5060		2023-09-30	50-70	7A						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S7B07	S7B07	S7B07	LC	S7B07		2023-09-30	0.15	7B						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S7B1522	S7B1522	S7B1522	LC	S7B1522		2023-09-30	16-30	7B						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
S7B3040	S7B3040	S7B3040	LC	S7B3040		2023-09-30	31-45	7B						Mexico:Tabasco	Laguna Cacahuate	Fringe	si	30.6	355.1	6.99	99	0.21	150
S7B5060	S7B5060	S7B5060	LC	S7B5060		2023-09-30	50-70	7B						Mexico:Tabasco	Laguna Cacahuate	Fringe	no						
zr2502_1_R1	zr2502_1_R1	P1	zr2	zr2502_1_R1			0.050	1						Mexico:Campeche	Estero_pargo		no						
zr2502_2_R1	zr2502_2_R1	P2	zr2	zr2502_2_R1			0.050	2						Mexico:Campeche	Estero_pargo		no						
zr2502_3_R1	zr2502_3_R1	P3	zr2	zr2502_3_R1			0.200	3						Mexico:Campeche	Estero_pargo		no						
zr2502_4_R1	zr2502_4_R1	P4	zr2	zr2502_4_R1			0.050	4						Mexico:Campeche	Estero_pargo		no						
zr2502_5_R1	zr2502_5_R1	P5	zr2	zr2502_5_R1			0.050	5						Mexico:Campeche	Estero_pargo		no						
zr2502_6_R1	zr2502_6_R1	P6	zr2	zr2502_6_R1			0.050	6						Mexico:Campeche	Estero_pargo		no						
zr2502_7_R1	zr2502_7_R1	P7	zr2	zr2502_7_R1			0.050	7						Mexico:Campeche	Estero_pargo		no						
zr2502_8_R1	zr2502_8_R1	P8	zr2	zr2502_8_R1			0.050	8						Mexico:Campeche	Estero_pargo		no						
zr2502_9_R1	zr2502_9_R1	P9	zr2	zr2502_9_R1			0.200	9						Mexico:Campeche	Estero_pargo		no						
zr2502_10_R1	zr2502_10_R1	P10	zr2	zr2502_10_R1			0.050	10						Mexico:Campeche	Estero_pargo		no						
zr2502_11_R1	zr2502_11_R1	P11	zr2	zr2502_11_R1			0.200	11						Mexico:Campeche	Estero_pargo		no						
zr2502_12_R1	zr2502_12_R1	P12	zr2	zr2502_12_R1			0.400	12						Mexico:Campeche	Estero_pargo		no						
zr2502_13_R1	zr2502_13_R1	P13	zr2	zr2502_13_R1			0.400	13						Mexico:Campeche	Estero_pargo		no						
zr2502_14_R1	zr2502_14_R1	P14	zr2	zr2502_14_R1			0.050	14						Mexico:Campeche	Estero_pargo		no						
zr2502_15_R1	zr2502_15_R1	P15	zr2	zr2502_15_R1			0.200	15						Mexico:Campeche	Estero_pargo		no						
zr2502_16_R1	zr2502_16_R1	P16	zr2	zr2502_16_R1			0.400	16						Mexico:Campeche	Estero_pargo		no						
zr2502_17_R1	zr2502_17_R1	P17	zr2	zr2502_17_R1			0.200	17						Mexico:Campeche	Estero_pargo		no						
zr2502_18_R1	zr2502_18_R1	P18	zr2	zr2502_18_R1			0.400	18						Mexico:Campeche	Estero_pargo		no						
zr2502_19_R1	zr2502_19_R1	P19	zr2	zr2502_19_R1			0.200	19						Mexico:Campeche	Estero_pargo		no						
zr2502_20_R1	zr2502_20_R1	P20	zr2	zr2502_20_R1			0.400	20						Mexico:Campeche	Estero_pargo		no						
zr2502_21_R1	zr2502_21_R1	P21	zr2	zr2502_21_R1			0.500	21						Mexico:Campeche	Estero_pargo		no						
zr2502_22_R1	zr2502_22_R1	P22	zr2	zr2502_22_R1			0.200	22						Mexico:Campeche	Estero_pargo		no						
zr2502_23_R1	zr2502_23_R1	P23	zr2	zr2502_23_R1			0.400	23						Mexico:Campeche	Estero_pargo		no						
zr2502_24_R1	zr2502_24_R1	P24	zr2	zr2502_24_R1			0.500	24						Mexico:Campeche	Estero_pargo		no						
zr2502_25_R1	zr2502_25_R1	P25	zr2	zr2502_25_R1			0.200	25						Mexico:Campeche	Estero_pargo		no						
zr2502_26_R1	zr2502_26_R1	P26	zr2	zr2502_26_R1			0.400	26						Mexico:Campeche	Estero_pargo		no						
zr2502_27_R1	zr2502_27_R1	P27	zr2	zr2502_27_R1			0.500	27						Mexico:Campeche	Estero_pargo		no						
zr2502_28_R1	zr2502_28_R1	P28	zr2	zr2502_28_R1			0.200	28						Mexico:Campeche	Estero_pargo		no						
zr2502_29_R1	zr2502_29_R1	P29	zr2	zr2502_29_R1			0.400	29						Mexico:Campeche	Estero_pargo		no						
zr2502_30_R1	zr2502_30_R1	P30	zr2	zr2502_30_R1			0.500	30						Mexico:Campeche	Estero_pargo		no						
zr2502_31_R1	zr2502_31_R1	P31	zr2	zr2502_31_R1			0.200	31						Mexico:Campeche	Estero_pargo		no						
zr2502_32_R1	zr2502_32_R1	P32	zr2	zr2502_32_R1			0.400	32						Mexico:Campeche	Estero_pargo		no						
zr2502_33_R1	zr2502_33_R1	P33	zr2	zr2502_33_R1			0.200	33						Mexico:Campeche	Estero_pargo		no						
zr2502_34_R1	zr2502_34_R1	P34	zr2	zr2502_34_R1			0.400	34						Mexico:Campeche	Estero_pargo		no						
zr2502_35_R1	zr2502_35_R1	P35	zr2	zr2502_35_R1			0.200	35						Mexico:Campeche	Estero_pargo		no						
zr2502_36_R1	zr2502_36_R1	P36	zr2	zr2502_36_R1			0.400	36						Mexico:Campeche	Estero_pargo		no						
zr2502_37_R1	zr2502_37_R1	P37	zr2	zr2502_37_R1			0.500	37						Mexico:Campeche	Estero_pargo		no						
zr2502_38_R1	zr2502_38_R1	P38	zr2	zr2502_38_R1			0.200	38						Mexico:Campeche	Estero_pargo		no						
zr2502_39_R1	zr2502_39_R1	P39	zr2	zr2502_39_R1			0.400	39						Mexico:Campeche	Estero_pargo		no						
zr2502_40_R1	zr2502_40_R1	P40	zr2	zr2502_40_R1			0.400	40						Mexico:Campeche	Estero_pargo		no						
